service,service_slug,slug,city,city_slug,state,state_abbr,population,image_url,meta_title,meta_description,intro_paragraph,why_choose_us,map_embed_url,lat,lon,state_fips,place_fips,place_geoid,place_type,classfp,timezone,service_keywords,msa_cbsa_code,county_name,phone_placeholder,service_area_radius_miles
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Los Angeles, CA | Emergency Water Pros","24/7 Water Damage Restoration in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Los Angeles CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Los Angeles restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Los Angeles, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Los Angeles CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Los Angeles restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Los Angeles, CA | Emergency Water Pros","24/7 Mold Removal in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Los Angeles CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Los Angeles restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Los Angeles, CA | Emergency Water Pros","24/7 Storm Damage Repair in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Los Angeles CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Los Angeles restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Los Angeles, CA | Emergency Water Pros","24/7 Sewage Cleanup in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Los Angeles CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Los Angeles restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-los-angeles-ca","Los Angeles","los-angeles","California","CA",3857897,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Los Angeles, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Los Angeles. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Los Angeles, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Los Angeles","https://www.google.com/maps?q=Los%20Angeles%2C%20CA&output=embed",,,"06","44000","0644000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Los Angeles CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Los Angeles restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in San Diego, CA | Emergency Water Pros","24/7 Water Damage Restoration in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration San Diego CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, San Diego restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in San Diego, CA | Emergency Water Pros","24/7 Fire Damage Restoration in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration San Diego CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, San Diego restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in San Diego, CA | Emergency Water Pros","24/7 Mold Removal in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal San Diego CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, San Diego restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in San Diego, CA | Emergency Water Pros","24/7 Storm Damage Repair in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair San Diego CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, San Diego restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in San Diego, CA | Emergency Water Pros","24/7 Sewage Cleanup in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup San Diego CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, San Diego restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-san-diego-ca","San Diego","san-diego","California","CA",1385061,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in San Diego, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in San Diego. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Diego, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Diego","https://www.google.com/maps?q=San%20Diego%2C%20CA&output=embed",,,"06","66000","0666000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup San Diego CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, San Diego restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in San Jose, CA | Emergency Water Pros","24/7 Water Damage Restoration in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration San Jose CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, San Jose restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in San Jose, CA | Emergency Water Pros","24/7 Fire Damage Restoration in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration San Jose CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, San Jose restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in San Jose, CA | Emergency Water Pros","24/7 Mold Removal in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal San Jose CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, San Jose restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in San Jose, CA | Emergency Water Pros","24/7 Storm Damage Repair in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair San Jose CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, San Jose restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in San Jose, CA | Emergency Water Pros","24/7 Sewage Cleanup in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup San Jose CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, San Jose restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-san-jose-ca","San Jose","san-jose","California","CA",990054,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in San Jose, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in San Jose. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Jose, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Jose","https://www.google.com/maps?q=San%20Jose%2C%20CA&output=embed",,,"06","68000","0668000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup San Jose CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, San Jose restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in San Francisco, CA | Emergency Water Pros","24/7 Water Damage Restoration in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration San Francisco CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, San Francisco restoration, CA restoration","","","",30
