service,service_slug,slug,city,city_slug,state,state_abbr,population,image_url,meta_title,meta_description,intro_paragraph,why_choose_us,map_embed_url,lat,lon,state_fips,place_fips,place_geoid,place_type,classfp,timezone,service_keywords,msa_cbsa_code,county_name,phone_placeholder,service_area_radius_miles
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in San Francisco, CA | Emergency Water Pros","24/7 Fire Damage Restoration in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration San Francisco CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, San Francisco restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in San Francisco, CA | Emergency Water Pros","24/7 Mold Removal in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal San Francisco CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, San Francisco restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in San Francisco, CA | Emergency Water Pros","24/7 Storm Damage Repair in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair San Francisco CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, San Francisco restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in San Francisco, CA | Emergency Water Pros","24/7 Sewage Cleanup in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup San Francisco CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, San Francisco restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-san-francisco-ca","San Francisco","san-francisco","California","CA",836321,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in San Francisco, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in San Francisco. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in San Francisco, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving San Francisco","https://www.google.com/maps?q=San%20Francisco%2C%20CA&output=embed",,,"06","67000","0667000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup San Francisco CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, San Francisco restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Fresno, CA | Emergency Water Pros","24/7 Water Damage Restoration in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Fresno CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Fresno restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Fresno, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Fresno CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Fresno restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Fresno, CA | Emergency Water Pros","24/7 Mold Removal in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Fresno CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Fresno restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Fresno, CA | Emergency Water Pros","24/7 Storm Damage Repair in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Fresno CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Fresno restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Fresno, CA | Emergency Water Pros","24/7 Sewage Cleanup in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Fresno CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Fresno restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-fresno-ca","Fresno","fresno","California","CA",543615,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Fresno, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Fresno. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Fresno, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Fresno","https://www.google.com/maps?q=Fresno%2C%20CA&output=embed",,,"06","27000","0627000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Fresno CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Fresno restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Sacramento, CA | Emergency Water Pros","24/7 Water Damage Restoration in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Sacramento CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Sacramento restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Sacramento, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Sacramento CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Sacramento restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Sacramento, CA | Emergency Water Pros","24/7 Mold Removal in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Sacramento CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Sacramento restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Sacramento, CA | Emergency Water Pros","24/7 Storm Damage Repair in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Sacramento CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Sacramento restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Sacramento, CA | Emergency Water Pros","24/7 Sewage Cleanup in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Sacramento CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Sacramento restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-sacramento-ca","Sacramento","sacramento","California","CA",524802,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Sacramento, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Sacramento. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Sacramento, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Sacramento","https://www.google.com/maps?q=Sacramento%2C%20CA&output=embed",,,"06","64000","0664000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Sacramento CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Sacramento restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Long Beach, CA | Emergency Water Pros","24/7 Water Damage Restoration in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Long Beach CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Long Beach restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Long Beach, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Long Beach CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Long Beach restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Long Beach, CA | Emergency Water Pros","24/7 Mold Removal in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Long Beach CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Long Beach restoration, CA restoration","","","",30
