service,service_slug,slug,city,city_slug,state,state_abbr,population,image_url,meta_title,meta_description,intro_paragraph,why_choose_us,map_embed_url,lat,lon,state_fips,place_fips,place_geoid,place_type,classfp,timezone,service_keywords,msa_cbsa_code,county_name,phone_placeholder,service_area_radius_miles
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Long Beach, CA | Emergency Water Pros","24/7 Storm Damage Repair in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Long Beach CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Long Beach restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Long Beach, CA | Emergency Water Pros","24/7 Sewage Cleanup in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Long Beach CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Long Beach restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-long-beach-ca","Long Beach","long-beach","California","CA",458491,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Long Beach, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Long Beach. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Long Beach, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Long Beach","https://www.google.com/maps?q=Long%20Beach%2C%20CA&output=embed",,,"06","43000","0643000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Long Beach CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Long Beach restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Oakland, CA | Emergency Water Pros","24/7 Water Damage Restoration in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Oakland CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Oakland restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Oakland, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Oakland CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Oakland restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Oakland, CA | Emergency Water Pros","24/7 Mold Removal in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Oakland CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Oakland restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Oakland, CA | Emergency Water Pros","24/7 Storm Damage Repair in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Oakland CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Oakland restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Oakland, CA | Emergency Water Pros","24/7 Sewage Cleanup in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Oakland CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Oakland restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-oakland-ca","Oakland","oakland","California","CA",438072,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Oakland, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Oakland. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Oakland, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Oakland","https://www.google.com/maps?q=Oakland%2C%20CA&output=embed",,,"06","53000","0653000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Oakland CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Oakland restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Bakersfield, CA | Emergency Water Pros","24/7 Water Damage Restoration in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Bakersfield CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Bakersfield restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Bakersfield, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Bakersfield CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Bakersfield restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Bakersfield, CA | Emergency Water Pros","24/7 Mold Removal in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Bakersfield CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Bakersfield restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Bakersfield, CA | Emergency Water Pros","24/7 Storm Damage Repair in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Bakersfield CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Bakersfield restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Bakersfield, CA | Emergency Water Pros","24/7 Sewage Cleanup in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Bakersfield CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Bakersfield restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-bakersfield-ca","Bakersfield","bakersfield","California","CA",408366,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Bakersfield, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Bakersfield. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Bakersfield, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Bakersfield","https://www.google.com/maps?q=Bakersfield%2C%20CA&output=embed",,,"06","03526","0603526","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Bakersfield CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Bakersfield restoration, CA restoration","","","",30
"Water Damage Restoration","water-damage-restoration","water-damage-restoration-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Water Damage Restoration in Anaheim, CA | Emergency Water Pros","24/7 Water Damage Restoration in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Water Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Water Damage Restoration, Water Damage Restoration Anaheim CA, Water Damage Restoration near me, Water Damage Restoration emergency, Water Damage Restoration insurance billing, Anaheim restoration, CA restoration","","","",30
"Fire Damage Restoration","fire-damage-restoration","fire-damage-restoration-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Fire Damage Restoration in Anaheim, CA | Emergency Water Pros","24/7 Fire Damage Restoration in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Fire Damage Restoration. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Fire Damage Restoration, Fire Damage Restoration Anaheim CA, Fire Damage Restoration near me, Fire Damage Restoration emergency, Fire Damage Restoration insurance billing, Anaheim restoration, CA restoration","","","",30
"Mold Removal","mold-removal","mold-removal-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Mold Removal in Anaheim, CA | Emergency Water Pros","24/7 Mold Removal in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Mold Removal. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Mold Removal, Mold Removal Anaheim CA, Mold Removal near me, Mold Removal emergency, Mold Removal insurance billing, Anaheim restoration, CA restoration","","","",30
"Storm Damage Repair","storm-damage-repair","storm-damage-repair-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Storm Damage Repair in Anaheim, CA | Emergency Water Pros","24/7 Storm Damage Repair in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Storm Damage Repair. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Storm Damage Repair, Storm Damage Repair Anaheim CA, Storm Damage Repair near me, Storm Damage Repair emergency, Storm Damage Repair insurance billing, Anaheim restoration, CA restoration","","","",30
"Sewage Cleanup","sewage-cleanup","sewage-cleanup-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Sewage Cleanup in Anaheim, CA | Emergency Water Pros","24/7 Sewage Cleanup in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Sewage Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Sewage Cleanup, Sewage Cleanup Anaheim CA, Sewage Cleanup near me, Sewage Cleanup emergency, Sewage Cleanup insurance billing, Anaheim restoration, CA restoration","","","",30
"Basement Flood Cleanup","basement-flood-cleanup","basement-flood-cleanup-anaheim-ca","Anaheim","anaheim","California","CA",344553,"https://images.unsplash.com/photo-1482192596544-9eb780fc7f66?auto=format&fit=crop&w=1600&q=80","Basement Flood Cleanup in Anaheim, CA | Emergency Water Pros","24/7 Basement Flood Cleanup in Anaheim. Fast local response, IICRC-certified techs, direct insurance billing. Call Emergency Water Pros for a free estimate.","When disaster strikes in Anaheim, Emergency Water Pros delivers prompt, professional Basement Flood Cleanup. Our local team arrives fast, mitigates damage, and guides you through insurance—24/7.","24/7 emergency dispatch | ~45‑min arrival | IICRC‑certified techs | Direct insurance billing | Trusted local team serving Anaheim","https://www.google.com/maps?q=Anaheim%2C%20CA&output=embed",,,"06","02000","0602000","Incorporated Place","","America/Los_Angeles","Basement Flood Cleanup, Basement Flood Cleanup Anaheim CA, Basement Flood Cleanup near me, Basement Flood Cleanup emergency, Basement Flood Cleanup insurance billing, Anaheim restoration, CA restoration","","","",30

